ID,State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
16,Andhra Pradesh,Amalapuram (SC),GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16,Lost
17,Andhra Pradesh,Amalapuram (SC),DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41,Lost
18,Andhra Pradesh,Amalapuram (SC),KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29,Lost
19,Andhra Pradesh,Amalapuram (SC),VADDI LALITH KUMAR,Independent,2974,3,2977,0.23,Lost
20,Andhra Pradesh,Amalapuram (SC),MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16,Lost
21,Andhra Pradesh,Amalapuram (SC),GUDE VENKATESWARULU,Independent,1741,4,1745,0.13,Lost
22,Andhra Pradesh,Amalapuram (SC),RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07,Lost
23,Andhra Pradesh,Amalapuram (SC),YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06,Lost
24,Andhra Pradesh,Amalapuram (SC),MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06,Lost
25,Andhra Pradesh,Amalapuram (SC),GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06,Lost
26,Andhra Pradesh,Amalapuram (SC),YADLA RAJESH,Liberation Congress Party,628,7,635,0.05,Lost
27,Andhra Pradesh,Amalapuram (SC),KAPA KALYAN,Republican Party of India (A),579,2,581,0.04,Lost
28,Andhra Pradesh,Amalapuram (SC),PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04,Lost
29,Andhra Pradesh,Amalapuram (SC),NOTA,None of the Above,13418,100,13518,1.04,Lost
30,Andhra Pradesh,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5,Won
31,Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,35.13,Lost
32,Andhra Pradesh,Anakapalle,VEGI VENKATESH,Indian National Congress,24833,818,25651,1.94,Lost
33,Andhra Pradesh,Anakapalle,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,1.45,Lost
34,Andhra Pradesh,Anakapalle,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,0.3,Lost
35,Andhra Pradesh,Anakapalle,LOVARAJU SIDDHA,Independent,3845,7,3852,0.29,Lost
36,Andhra Pradesh,Anakapalle,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,0.27,Lost
37,Andhra Pradesh,Anakapalle,GARA SURYA RAO,Independent,3116,8,3124,0.24,Lost
38,Andhra Pradesh,Anakapalle,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,0.2,Lost
39,Andhra Pradesh,Anakapalle,NAGESWARA RAO PETLA,Independent,2179,5,2184,0.16,Lost
40,Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,0.14,Lost
41,Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,0.12,Lost
42,Andhra Pradesh,Anakapalle,DR. THUMMAPALA HARI  SHANKAR,Independent,1567,9,1576,0.12,Lost
43,Andhra Pradesh,Anakapalle,JUNNURI J SRINIVAS,Independent,1195,6,1201,0.09,Lost
44,Andhra Pradesh,Anakapalle,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,0.08,Lost
45,Andhra Pradesh,Anakapalle,NOTA,None of the Above,26084,151,26235,1.98,Lost
46,Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,Won
47,Andhra Pradesh,Ananthapur,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24,Lost
48,Andhra Pradesh,Ananthapur,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3,Lost
49,Andhra Pradesh,Ananthapur,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45,Lost
50,Andhra Pradesh,Ananthapur,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44,Lost
51,Andhra Pradesh,Ananthapur,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4,Lost
52,Andhra Pradesh,Ananthapur,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35,Lost
53,Andhra Pradesh,Ananthapur,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2,Lost
54,Andhra Pradesh,Ananthapur,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18,Lost
55,Andhra Pradesh,Ananthapur,P.CHOWDESWARI,Independent,1514,4,1518,0.11,Lost
56,Andhra Pradesh,Ananthapur,VADLA KESAVAIAH,Independent,1488,6,1494,0.1,Lost
57,Andhra Pradesh,Ananthapur,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09,Lost
58,Andhra Pradesh,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08,Lost
59,Andhra Pradesh,Ananthapur,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08,Lost
60,Andhra Pradesh,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06,Lost
61,Andhra Pradesh,Ananthapur,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05,Lost
62,Andhra Pradesh,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05,Lost
63,Andhra Pradesh,Ananthapur,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04,Lost
64,Andhra Pradesh,Ananthapur,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04,Lost
65,Andhra Pradesh,Ananthapur,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03,Lost
66,Andhra Pradesh,Ananthapur,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03,Lost
67,Andhra Pradesh,Ananthapur,NOTA,None of the Above,9014,185,9199,0.64,Lost
68,Andhra Pradesh,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,Won
69,Andhra Pradesh,Araku (ST),KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62,Lost
70,Andhra Pradesh,Araku (ST),APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016,4113,123129,10.57,Lost
71,Andhra Pradesh,Araku (ST),AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21,Lost
72,Andhra Pradesh,Araku (ST),SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82,Lost
73,Andhra Pradesh,Araku (ST),NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81,Lost
74,Andhra Pradesh,Araku (ST),ATHIDHI,Independent,8121,15,8136,0.7,Lost
75,Andhra Pradesh,Araku (ST),CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62,Lost
76,Andhra Pradesh,Araku (ST),MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58,Lost
77,Andhra Pradesh,Araku (ST),RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52,Lost
78,Andhra Pradesh,Araku (ST),RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43,Lost
79,Andhra Pradesh,Araku (ST),MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43,Lost
80,Andhra Pradesh,Araku (ST),VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39,Lost
81,Andhra Pradesh,Araku (ST),NOTA,None of the Above,50205,265,50470,4.33,Lost
82,Andhra Pradesh,Bapatla (SC),KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16,Won
83,Andhra Pradesh,Bapatla (SC),NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17,Lost
84,Andhra Pradesh,Bapatla (SC),J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33,Lost
85,Andhra Pradesh,Bapatla (SC),DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53,Lost
86,Andhra Pradesh,Bapatla (SC),NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23,Lost
87,Andhra Pradesh,Bapatla (SC),BUSSA. NAGARAJU,Independent,1311,7,1318,0.1,Lost
88,Andhra Pradesh,Bapatla (SC),GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08,Lost
89,Andhra Pradesh,Bapatla (SC),KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07,Lost
90,Andhra Pradesh,Bapatla (SC),KONDRU KIRAN KUMAR,Independent,791,6,797,0.06,Lost
91,Andhra Pradesh,Bapatla (SC),KATTA ANAND BABU,Independent,704,25,729,0.06,Lost
92,Andhra Pradesh,Bapatla (SC),MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05,Lost
93,Andhra Pradesh,Bapatla (SC),KATTA HEMANAND,Independent,547,2,549,0.04,Lost
94,Andhra Pradesh,Bapatla (SC),PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03,Lost
95,Andhra Pradesh,Bapatla (SC),PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02,Lost
96,Andhra Pradesh,Bapatla (SC),CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02,Lost
97,Andhra Pradesh,Bapatla (SC),NOTA,None of the Above,13599,124,13723,1.06,Lost
98,Andhra Pradesh,Chittoor(SC),DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84,Won
99,Andhra Pradesh,Chittoor(SC),REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,552469,5123,557592,39.3,Lost
100,Andhra Pradesh,Chittoor(SC),MOTUKUR JAGAPATHI,Indian National Congress,29431,719,30150,2.12,Lost
101,Andhra Pradesh,Chittoor(SC),THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13389,122,13511,0.95,Lost
102,Andhra Pradesh,Chittoor(SC),YUGANDAR . KONDA,Independent,6889,84,6973,0.49,Lost
103,Andhra Pradesh,Chittoor(SC),K.MUNI KRISHNA,Independent,3954,2,3956,0.28,Lost
104,Andhra Pradesh,Chittoor(SC),P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2822,11,2833,0.2,Lost
105,Andhra Pradesh,Chittoor(SC),PETA.MOHAN .,Independent,2365,1,2366,0.17,Lost
106,Andhra Pradesh,Chittoor(SC),C.SUDHAKAR,Independent,1934,1,1935,0.14,Lost
107,Andhra Pradesh,Chittoor(SC),N.CHANDRABABU,Independent,1878,7,1885,0.13,Lost
108,Andhra Pradesh,Chittoor(SC),MADASI SUDHARSHAN,Independent,1575,3,1578,0.11,Lost
109,Andhra Pradesh,Chittoor(SC),D.MAHESH,Independent,1109,10,1119,0.08,Lost
110,Andhra Pradesh,Chittoor(SC),P.MADHU,Independent,902,4,906,0.06,Lost
111,Andhra Pradesh,Chittoor(SC),N.BHUPATHI,Independent,862,32,894,0.06,Lost
112,Andhra Pradesh,Chittoor(SC),A. PURNA CHANDRA,Independent,856,1,857,0.06,Lost
113,Andhra Pradesh,Chittoor(SC),PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,670,6,676,0.05,Lost
114,Andhra Pradesh,Chittoor(SC),N.GANGAIAH .,Independent,547,5,552,0.04,Lost
115,Andhra Pradesh,Chittoor(SC),T NARESH,Independent,532,2,534,0.04,Lost
116,Andhra Pradesh,Chittoor(SC),BANDAPALLI RAMESH,Independent,490,3,493,0.03,Lost
117,Andhra Pradesh,Chittoor(SC),NOTA,None of the Above,11812,164,11976,0.84,Lost
118,Andhra Pradesh,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54,Won
119,Andhra Pradesh,Eluru,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84,Lost
120,Andhra Pradesh,Eluru,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51,Lost
121,Andhra Pradesh,Eluru,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88,Lost
122,Andhra Pradesh,Eluru,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49,Lost
123,Andhra Pradesh,Eluru,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16,Lost
124,Andhra Pradesh,Eluru,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11,Lost
125,Andhra Pradesh,Eluru,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09,Lost
126,Andhra Pradesh,Eluru,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07,Lost
127,Andhra Pradesh,Eluru,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06,Lost
128,Andhra Pradesh,Eluru,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05,Lost
129,Andhra Pradesh,Eluru,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05,Lost
130,Andhra Pradesh,Eluru,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05,Lost
131,Andhra Pradesh,Eluru,NOTA,None of the Above,22371,144,22515,1.63,Lost
132,Andhra Pradesh,Guntur,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68,Won
133,Andhra Pradesh,Guntur,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5,Lost
134,Andhra Pradesh,Guntur,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61,Lost
135,Andhra Pradesh,Guntur,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39,Lost
136,Andhra Pradesh,Guntur,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3,Lost
137,Andhra Pradesh,Guntur,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14,Lost
138,Andhra Pradesh,Guntur,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12,Lost
139,Andhra Pradesh,Guntur,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09,Lost
140,Andhra Pradesh,Guntur,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09,Lost
141,Andhra Pradesh,Guntur,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07,Lost
142,Andhra Pradesh,Guntur,PILLI BABU RAO,Independent,688,4,692,0.05,Lost
143,Andhra Pradesh,Guntur,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,540,2,542,0.04,Lost
144,Andhra Pradesh,Guntur,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,-,461,0.03,Lost
145,Andhra Pradesh,Guntur,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03,Lost
146,Andhra Pradesh,Guntur,SHAIK. KHAJAVALI,Independent,387,4,391,0.03,Lost
147,Andhra Pradesh,Guntur,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03,Lost
148,Andhra Pradesh,Guntur,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03,Lost
149,Andhra Pradesh,Guntur,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03,Lost
150,Andhra Pradesh,Guntur,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03,Lost
151,Andhra Pradesh,Guntur,ASHOK ANAND GALI,Independent,335,-,335,0.02,Lost
152,Andhra Pradesh,Guntur,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02,Lost
153,Andhra Pradesh,Guntur,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02,Lost
154,Andhra Pradesh,Guntur,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02,Lost
155,Andhra Pradesh,Guntur,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02,Lost
156,Andhra Pradesh,Guntur,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02,Lost
157,Andhra Pradesh,Guntur,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,-,268,0.02,Lost
158,Andhra Pradesh,Guntur,SIVA PARVATHI,Independent,262,4,266,0.02,Lost
159,Andhra Pradesh,Guntur,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01,Lost
160,Andhra Pradesh,Guntur,SRIKRISHNA AKKISETTI,Independent,179,-,179,0.01,Lost
161,Andhra Pradesh,Guntur,MADAVARAPU NAGA RAJU,Independent,172,-,172,0.01,Lost
162,Andhra Pradesh,Guntur,NOTA,None of the Above,7210,177,7387,0.52,Lost
163,Andhra Pradesh,Hindupur,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,Won
164,Andhra Pradesh,Hindupur,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88,Lost
165,Andhra Pradesh,Hindupur,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89,Lost
166,Andhra Pradesh,Hindupur,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57,Lost
167,Andhra Pradesh,Hindupur,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38,Lost
168,Andhra Pradesh,Hindupur,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16,Lost
169,Andhra Pradesh,Hindupur,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14,Lost
170,Andhra Pradesh,Hindupur,S N SURESH,Independent,1611,20,1631,0.12,Lost
171,Andhra Pradesh,Hindupur,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09,Lost
172,Andhra Pradesh,Hindupur,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09,Lost
173,Andhra Pradesh,Hindupur,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09,Lost
174,Andhra Pradesh,Hindupur,S RAGHUNATHA REDDY,Independent,693,17,710,0.05,Lost
175,Andhra Pradesh,Hindupur,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05,Lost
176,Andhra Pradesh,Hindupur,NOTA,None of the Above,17826,145,17971,1.27,Lost
177,Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78,Won
178,Andhra Pradesh,Kadapa,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358,10090,542448,41.03,Lost
179,Andhra Pradesh,Kadapa,Y.S. SHARMILA REDDY,Indian National Congress,136395,4644,141039,10.67,Lost
180,Andhra Pradesh,Kadapa,PANDITI. GURAPPA.,Bahujan Samaj Party,3790,20,3810,0.29,Lost
181,Andhra Pradesh,Kadapa,VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular),3500,70,3570,0.27,Lost
182,Andhra Pradesh,Kadapa,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414,16,2430,0.18,Lost
183,Andhra Pradesh,Kadapa,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329,4,2333,0.18,Lost
184,Andhra Pradesh,Kadapa,L. KHAJA HUSSAIN,Independent,1087,1,1088,0.08,Lost
185,Andhra Pradesh,Kadapa,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752,3,755,0.06,Lost
186,Andhra Pradesh,Kadapa,KAKARLA SHANMUKHA REDDY,Independent,633,14,647,0.05,Lost
187,Andhra Pradesh,Kadapa,PALLE RAMESH,Jaibhim Rao Bharat Party,619,5,624,0.05,Lost
188,Andhra Pradesh,Kadapa,CHAN BASHA. S,Anna YSR Congress Party,432,7,439,0.03,Lost
189,Andhra Pradesh,Kadapa,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414,20,434,0.03,Lost
190,Andhra Pradesh,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358,11,369,0.03,Lost
191,Andhra Pradesh,Kadapa,NOTA,None of the Above,16660,186,16846,1.27,Lost
192,Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87,Won
193,Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188,5020,500208,37.62,Lost
194,Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258,851,21109,1.59,Lost
195,Andhra Pradesh,Kakinada,UDAY,Navarang Congress Party,15578,125,15703,1.18,Lost
196,Andhra Pradesh,Kakinada,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916,63,11979,0.9,Lost
197,Andhra Pradesh,Kakinada,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818,36,9854,0.74,Lost
198,Andhra Pradesh,Kakinada,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516,43,6559,0.49,Lost
199,Andhra Pradesh,Kakinada,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924,3,3927,0.3,Lost
200,Andhra Pradesh,Kakinada,BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation),2816,7,2823,0.21,Lost
201,Andhra Pradesh,Kakinada,SUDHA VEERA GANESH,Independent,2645,2,2647,0.2,Lost
202,Andhra Pradesh,Kakinada,BHAVANI SANKAR PRASAD MERLA,Independent,1963,6,1969,0.15,Lost
203,Andhra Pradesh,Kakinada,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762,18,1780,0.13,Lost
204,Andhra Pradesh,Kakinada,BODDETI APPARAO,Independent,1687,-,1687,0.13,Lost
205,Andhra Pradesh,Kakinada,NEELAKANTAM DONAM,Independent,1401,11,1412,0.11,Lost
206,Andhra Pradesh,Kakinada,PASUPULETI S.V.S.BHUSHANAM,Independent,1222,5,1227,0.09,Lost
207,Andhra Pradesh,Kakinada,NOTA,None of the Above,17105,115,17220,1.29,Lost
208,Andhra Pradesh,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51,Won
209,Andhra Pradesh,Kurnoolu,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801,3815,547616,41.15,Lost
210,Andhra Pradesh,Kurnoolu,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972,1401,70373,5.29,Lost
211,Andhra Pradesh,Kurnoolu,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533,56,8589,0.65,Lost
212,Andhra Pradesh,Kurnoolu,BOYA SURESH,Independent,5891,9,5900,0.44,Lost
213,Andhra Pradesh,Kurnoolu,T. BEECHUPALLI,Independent,5125,2,5127,0.39,Lost
214,Andhra Pradesh,Kurnoolu,VIJAYA BHASKAR .REDDYPOGU,Independent,3504,4,3508,0.26,Lost
215,Andhra Pradesh,Kurnoolu,PAGADALA KODANDA,Independent,3070,6,3076,0.23,Lost
216,Andhra Pradesh,Kurnoolu,DEVARAPOGU MADDILETY,Independent,2576,6,2582,0.19,Lost
217,Andhra Pradesh,Kurnoolu,PRAKASH REDDY RALAMPADU,Independent,2222,3,2225,0.17,Lost
218,Andhra Pradesh,Kurnoolu,JAHANGIR AHMED,Social Democratic Party Of India,2058,16,2074,0.16,Lost
219,Andhra Pradesh,Kurnoolu,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847,9,1856,0.14,Lost
220,Andhra Pradesh,Kurnoolu,ABDUL SATTAR  A.S.R,Anna YSR Congress Party,1565,36,1601,0.12,Lost
221,Andhra Pradesh,Kurnoolu,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385,5,1390,0.1,Lost
222,Andhra Pradesh,Kurnoolu,URUKUNDU VADDE,Independent,1284,11,1295,0.1,Lost
223,Andhra Pradesh,Kurnoolu,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162,2,1164,0.09,Lost
224,Andhra Pradesh,Kurnoolu,SUNKARA SREEDHAR,Jai Bharat National Party,1149,14,1163,0.09,Lost
225,Andhra Pradesh,Kurnoolu,TARIGOPULA RAJABABU,All Peoples Party,1032,1,1033,0.08,Lost
226,Andhra Pradesh,Kurnoolu,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777,6,783,0.06,Lost
227,Andhra Pradesh,Kurnoolu,NOTA,None of the Above,10394,117,10511,0.79,Lost
228,Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22,Won
229,Andhra Pradesh,Machilipatnam,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211,6049,501260,38.21,Lost
230,Andhra Pradesh,Machilipatnam,GOLLU KRISHNA,Indian National Congress,31130,695,31825,2.43,Lost
231,Andhra Pradesh,Machilipatnam,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518,623,11141,0.85,Lost
